id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750575890_9599,421,0.339,1137,0.916,191595,"2025-06-22 07:04:50"
1750576036_1849,421,0.339,1137,0.916,191595,"2025-06-22 07:07:16"
1750576413_1460,1130,0.91,1308,1.054,35597,"2025-06-22 07:13:33"
1750576419_4183,1136,0.915,1290,1.039,40824,"2025-06-22 07:13:39"
1750576424_3434,1110,0.894,1310,1.055,46051,"2025-06-22 07:13:44"
1750576429_8166,1034,0.833,1282,1.033,51277,"2025-06-22 07:13:49"
1750576434_2080,1043,0.84,1282,1.033,56503,"2025-06-22 07:13:54"
1750576440_6375,1039,0.837,1273,1.026,61830,"2025-06-22 07:14:00"
1750576445_1285,965,0.777,1261,1.016,67056,"2025-06-22 07:14:05"
1750576450_3857,986,0.794,1284,1.034,72283,"2025-06-22 07:14:10"
1750576455_5341,1012,0.815,1292,1.041,77509,"2025-06-22 07:14:15"
1750576476_3045,1033,0.832,1273,1.026,97862,"2025-06-22 07:14:36"
1750576478_2101,1043,0.84,1312,1.057,82736,"2025-06-22 07:14:38"
1750576481_3710,1038,0.836,1287,1.037,103089,"2025-06-22 07:14:41"
1750576489_6513,1026,0.827,1297,1.045,108816,"2025-06-22 07:14:49"
1750576495_4435,995,0.802,1304,1.051,116843,"2025-06-22 07:14:55"
1750576500_6721,964,0.777,1310,1.055,122069,"2025-06-22 07:15:00"
1750576505_7775,1096,0.883,1333,1.074,127296,"2025-06-22 07:15:05"
1750576510_9722,1038,0.836,1324,1.067,132522,"2025-06-22 07:15:10"
1750576515_1798,1056,0.851,1340,1.08,137755,"2025-06-22 07:15:15"
1750576521_8874,1077,0.868,1339,1.079,142981,"2025-06-22 07:15:21"
1750576526_9260,1088,0.877,1346,1.084,148208,"2025-06-22 07:15:26"
1750576531_6353,1106,0.891,1324,1.067,153435,"2025-06-22 07:15:31"
1750576536_4952,1077,0.868,1331,1.072,158661,"2025-06-22 07:15:36"
1750576542_1997,1126,0.907,1334,1.075,163888,"2025-06-22 07:15:42"
1750576547_1771,1147,0.924,1343,1.082,169115,"2025-06-22 07:15:47"
1750576552_9639,1113,0.897,1346,1.084,174342,"2025-06-22 07:15:52"
1750576557_9004,1078,0.869,1359,1.095,179568,"2025-06-22 07:15:57"
1750576563_2401,1151,0.927,1358,1.094,184795,"2025-06-22 07:16:03"
1750576568_6665,1085,0.874,1356,1.092,190021,"2025-06-22 07:16:08"
1750576573_8898,1051,0.847,1350,1.088,195248,"2025-06-22 07:16:13"
1750576578_1614,1058,0.852,1360,1.096,200474,"2025-06-22 07:16:18"
1750576583_8960,1160,0.935,1370,1.104,205701,"2025-06-22 07:16:23"
1750576589_9057,1188,0.957,1398,1.126,210927,"2025-06-22 07:16:29"
1750601857_2923,548,0.442,3217,2.592,96010,"2025-06-22 14:17:37"
1750601863_1288,557,0.449,3222,2.596,104137,"2025-06-22 14:17:43"
1750601868_8461,560,0.451,3231,2.603,109363,"2025-06-22 14:17:48"
1750601873_1819,555,0.447,3255,2.622,114590,"2025-06-22 14:17:53"
1750601878_2034,559,0.45,3246,2.615,119816,"2025-06-22 14:17:58"
